Date,Wilayah,Lokasi,Engine,Irigator,Jenis Irigator,Plan Time,Luas Siram,Kecepatan Rata-rata,Tebal Siram,Prepare Time,Operating Time,Waiting Time,Repair,Down Time,Standby,Off Time,Tot. Oper. Time,Total Avail,Total Time,% Availability,% Utilization,Air,Solar Terpakai (ltr),Biaya Solar (Std),Biaya Upah,Biaya Alat,Biaya Total,Rp/Ha,Ha/Hari,Ha/Jam,Solar Ltr/jam,Solar Ltr/Ha,Jenis Engine
31-Mei,AW14,165H,SPC0098,ITI0008,ITI,"22,00","0,75","30,00","18,50","2,00","3,00","0,00","0,00","0,00","0,00","19,00","5,00","24,00","24,00","100,00","60,00","132,00",38,Rp699.672,Rp603.841,Rp492.384,Rp1.795.897,Rp2.394.529,"0,75","0,25","12,67","50,67",SPC
31-Mei,AW14,182B,SPC0225,ITI0239,ITI,"22,00","3,56","30,00","16,00","2,00","12,00","0,00","0,00","0,00","0,00","10,00","14,00","24,00","24,00","100,00","85,71","582,00",75,Rp2.798.688,Rp841.920,Rp1.969.536,Rp5.610.144,Rp1.575.883,"3,56","0,30","6,25","21,07",SPC
31-Mei,AW15,168D,SPC0190,ITI0145,ITI,"22,00","4,60","30,00","13,00","2,00","17,00","0,00","0,00","0,00","0,00","5,00","19,00","24,00","24,00","100,00","89,47","595,00",120,Rp3.964.808,Rp719.221,Rp2.790.176,Rp7.474.205,Rp1.624.827,"4,60","0,27","7,06","26,09",SPC
31-Mei,AW15,166G,SPC0159,ITI0157,ITI,"22,00","4,63","30,00","20,50","3,00","18,00","0,00","0,00","0,00","0,00","3,00","21,00","24,00","24,00","100,00","85,71","980,00",117,Rp4.198.032,Rp718.469,Rp2.954.304,Rp7.870.805,Rp1.699.958,"4,63","0,26","6,50","25,27",SPC
1-Jun,AW08,303C,DEM0035,ITI0112,ITI,"15,00","3,36","40,00","19,50","0,86","14,50","1,00","0,00","0,00","0,00","0,00","15,36","16,36","16,36","100,00","88,63","676,00",154,Rp1.512.974,Rp551.709,Rp1.598.380,Rp3.663.063,Rp1.090.197,"3,36","0,23","10,62","45,83",DEM
1-Jun,AW08,303I,DEM0035,ITI0112,ITI,"7,00","1,74","40,00","21,00","0,64","7,00","0,00","0,00","0,00","0,00","0,00","7,64","7,64","7,64","100,00","91,62","328,00",77,Rp730.401,Rp348.408,Rp771.631,Rp1.850.440,Rp1.063.471,"1,74","0,25","11,00","44,25",DEM
1-Jun,AW08,110F,SPC0219,ITI0078,ITI,"18,33","3,75","30,00","18,00","3,00","17,00","0,00","0,00","0,00","0,00","0,00","20,00","20,00","20,00","100,00","85,00","682,00",110,Rp3.964.808,Rp1.089.145,Rp2.790.176,Rp7.844.129,Rp2.091.768,"3,75","0,22","6,47","29,33",SPC
1-Jun,AW08,101A,SPC0217,ITI0113,ITI,"14,67","3,69","40,00","12,50","1,00","13,50","0,50","1,00","0,00","0,00","0,00","14,50","15,00","16,00","93,75","90,00","470,00",177,Rp3.148.524,Rp859.476,Rp2.215.730,Rp6.223.730,Rp1.686.648,"3,69","0,27","13,11","47,97",SPC
1-Jun,AW08,111I,SPC0062,ITI0144,ITI,"16,50","1,70","40,00","13,50","2,50","6,00","0,50","0,00","0,00","0,00","9,00","8,50","18,00","18,00","100,00","66,67","240,00",55,Rp1.399.344,Rp870.751,Rp984.768,Rp3.254.863,Rp1.914.625,"1,70","0,28","9,17","32,35",SPC
1-Jun,AW08,102F,SPC0192,ITI0156,ITI,"22,00","3,57","40,00","21,00","7,50","16,00","0,50","0,00","0,00","0,00","0,00","23,50","24,00","24,00","100,00","66,67","796,00",98,Rp3.731.584,Rp956.937,Rp2.626.048,Rp7.314.569,Rp2.048.899,"3,57","0,22","6,13","27,45",SPC
1-Jun,AW08,112A,SPC0195,ITI0186,ITI,"17,42","4,00","40,00","14,00","2,00","16,00","1,00","0,00","0,00","0,00","0,00","18,00","19,00","19,00","100,00","84,21","590,00",122,Rp3.731.584,Rp1.044.805,Rp2.626.048,Rp7.402.437,Rp1.850.609,"4,00","0,25","7,63","30,50",SPC
1-Jun,AW08,111D1,SPC0193,ITI0230,ITI,"22,00","4,20","40,00","13,50","2,50","15,00","1,00","5,50","0,00","0,00","0,00","17,50","18,50","24,00","77,08","81,08","520,00",90,Rp3.498.360,Rp887.598,Rp2.461.920,Rp6.847.878,Rp1.630.447,"4,20","0,28","6,00","21,43",SPC
1-Jun,AW08,117C1,SPC0095,ITI0284,ITI,"21,08","3,04","40,00","23,00","2,00","18,00","2,00","1,00","0,00","0,00","0,00","20,00","22,00","23,00","95,65","81,82","707,00",135,Rp4.198.032,Rp962.830,Rp2.954.304,Rp8.115.166,Rp2.669.463,"3,04","0,17","7,50","44,41",SPC
1-Jun,AW09,118F,DEM0032,ITI0187,ITI,"22,00","2,94","30,00","15,00","11,00","11,50","0,00","0,00","0,00","0,00","1,50","22,50","24,00","24,00","100,00","51,11","460,00",100,Rp1.199.945,Rp1.054.625,Rp1.267.681,Rp3.522.251,Rp1.198.045,"2,94","0,26","8,70","34,01",DEM
1-Jun,AW09,118L,DEM0071,ITI0110,ITI,"22,00","4,40","30,00","22,00","1,50","21,00","1,50","0,00","0,00","0,00","0,00","22,50","24,00","24,00","100,00","87,50","1.170,00",171,Rp2.191.203,Rp1.097.177,Rp2.314.893,Rp5.603.273,Rp1.273.471,"4,40","0,21","8,14","38,86",DEM
1-Jun,AW09,119C2,SPC0125,ITI0002,ITI,"11,00","2,00","30,00","20,00","1,00","10,00","1,00","0,00","0,00","0,00","0,00","11,00","12,00","12,00","100,00","83,33","572,00",110,Rp2.332.240,Rp509.515,Rp1.641.280,Rp4.483.035,Rp2.241.518,"2,00","0,20","11,00","55,00",SPC
1-Jun,AW09,119C,SPC0125,ITI0002,ITI,"11,00","2,29","30,00","20,00","1,00","11,00","0,00","0,00","0,00","0,00","0,00","12,00","12,00","12,00","100,00","91,67","630,00",130,Rp2.565.464,Rp618.946,Rp1.805.408,Rp4.989.818,Rp2.178.960,"2,29","0,21","11,82","56,77",SPC
1-Jun,AW09,115F,SPC0096,ITI0025,ITI,"16,96","2,87","30,00","20,00","3,00","15,50","0,00","0,00","0,00","0,00","0,00","18,50","18,50","18,50","100,00","83,78","648,00",96,Rp3.614.972,Rp1.043.033,Rp2.543.986,Rp7.201.991,Rp2.509.405,"2,87","0,19","6,19","33,45",SPC
1-Jun,AW09,118H,SPC0194,ITI0032,ITI,"11,00","1,27","30,00","17,00","4,00","8,00","0,00","0,00","0,00","0,00","0,00","12,00","12,00","12,00","100,00","66,67","220,00",80,Rp1.865.792,Rp501.874,Rp1.313.024,Rp3.680.690,Rp2.898.181,"1,27","0,16","10,00","62,99",SPC
1-Jun,AW09,115D4,SPC0156,ITI0138,ITI,"11,00","2,30","30,00","20,00","0,50","11,00","0,50","0,00","0,00","0,00","0,00","11,50","12,00","12,00","100,00","91,67","500,00",75,Rp2.565.464,Rp620.030,Rp1.805.408,Rp4.990.902,Rp2.169.957,"2,30","0,21","6,82","32,61",SPC
1-Jun,AW09,115D,SPC0156,ITI0138,ITI,"11,00","2,10","30,00","20,00","0,50","10,00","1,50","0,00","0,00","0,00","0,00","10,50","12,00","12,00","100,00","83,33","430,00",70,Rp2.332.240,Rp477.148,Rp1.641.280,Rp4.450.668,Rp2.119.366,"2,10","0,21","7,00","33,33",SPC
1-Jun,AW09,105B,SPC0157,ITI0231,ITI,"22,00","3,49","30,00","21,50","1,00","19,00","3,00","1,00","0,00","0,00","0,00","20,00","23,00","24,00","95,83","82,61","780,00",118,Rp4.431.256,Rp1.077.285,Rp3.118.432,Rp8.626.973,Rp2.471.912,"3,49","0,18","6,21","33,81",SPC
